Category_Name,Category_Url,Main_Category
Haarverzorging,https://www.plus.nl/producten/baby-drogisterij/haarverzorging,https://www.plus.nl/producten/baby-drogisterij
Mondverzorging,https://www.plus.nl/producten/baby-drogisterij/mondverzorging,https://www.plus.nl/producten/baby-drogisterij
Scheerbenodigheden,https://www.plus.nl/producten/baby-drogisterij/scheerbenodigheden,https://www.plus.nl/producten/baby-drogisterij
"Handzeep, handverzorging",https://www.plus.nl/producten/baby-drogisterij/handzeep-handverzorging,https://www.plus.nl/producten/baby-drogisterij
Huidverzorging,https://www.plus.nl/producten/baby-drogisterij/huidverzorging,https://www.plus.nl/producten/baby-drogisterij
Dameshygiëne,https://www.plus.nl/producten/baby-drogisterij/dameshygi-ne,https://www.plus.nl/producten/baby-drogisterij
Geneesmiddelen,https://www.plus.nl/producten/baby-drogisterij/geneesmiddelen,https://www.plus.nl/producten/baby-drogisterij
Vitamines en supplementen,https://www.plus.nl/producten/baby-drogisterij/vitamines-en-supplementen,https://www.plus.nl/producten/baby-drogisterij
"EHBO, pleisters, condooms, overig",https://www.plus.nl/producten/baby-drogisterij/ehbo-pleisters-condooms-overig,https://www.plus.nl/producten/baby-drogisterij
"Kantoorartikelen, knutselen",https://www.plus.nl/producten/koken-non-food-service/kantoorartikelen-knutselen,https://www.plus.nl/producten/koken-non-food-service
"Feestartikelen, versiering",https://www.plus.nl/producten/koken-non-food-service/feestartikelen-versiering,https://www.plus.nl/producten/koken-non-food-service
Tijdschriften,https://www.plus.nl/producten/koken-non-food-service/tijdschriften,https://www.plus.nl/producten/koken-non-food-service
Elektronica,https://www.plus.nl/producten/koken-non-food-service/elektronica,https://www.plus.nl/producten/koken-non-food-service
"Kleding, textiel",https://www.plus.nl/producten/koken-non-food-service/kleding-textiel,https://www.plus.nl/producten/koken-non-food-service
"Kledingonderhoud, schoenonderhoud",https://www.plus.nl/producten/koken-non-food-service/kledingonderhoud-schoenonderhoud,https://www.plus.nl/producten/koken-non-food-service
"Bloemen, planten, verzorging",https://www.plus.nl/producten/koken-non-food-service/bloemen-planten-verzorging,https://www.plus.nl/producten/koken-non-food-service
Optiek,https://www.plus.nl/producten/koken-non-food-service/optiek,https://www.plus.nl/producten/koken-non-food-service
Tabak,https://www.plus.nl/producten/koken-non-food-service/tabak,https://www.plus.nl/producten/koken-non-food-service
Hond,https://www.plus.nl/producten/huisdier/hond,https://www.plus.nl/producten/huisdier
Kat,https://www.plus.nl/producten/huisdier/kat,https://www.plus.nl/producten/huisdier
Knaagdieren,https://www.plus.nl/producten/huisdier/knaagdieren,https://www.plus.nl/producten/huisdier
Vogels,https://www.plus.nl/producten/huisdier/vogels,https://www.plus.nl/producten/huisdier
Dierenverzorging ,https://www.plus.nl/producten/huisdier/dierenverzorging,https://www.plus.nl/producten/huisdier
"Toiletpapier, keukenpapier, tissues ",https://www.plus.nl/producten/huishouden/toiletpapier-keukenpapier-tissues,https://www.plus.nl/producten/huishouden
"Wasmiddel, wasverzachter",https://www.plus.nl/producten/huishouden/wasmiddel-wasverzachter,https://www.plus.nl/producten/huishouden
Schoonmaakmiddelen,https://www.plus.nl/producten/huishouden/schoonmaakmiddelen,https://www.plus.nl/producten/huishouden
