Product URL,Product image URL,Product name,Amount & unit,Price,Kod/Product code,Product Description
https://apspolska.pl/miseczka-na-dip-60ml-kera-still-kolor-fioletowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/e705925f6ef8f3ec392bc6982cd17a7d","Miseczka na dip 60ml KERA Still, kolor fioletowy",,10.27,6.7.5 VIO,"Szerokość 6,5 cm
wysokość 3 cm"
https://apspolska.pl/miseczka-na-dip-60ml-kera-still-kolor-szary.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/7e5f0ad89067cd72164caeb507b93f29","Miseczka na dip 60ml KERA Still, kolor szary",,10.27,6.7.5 GRY,"Szerokość 6,5 cm
wysokość 3 cm"
https://apspolska.pl/filizanka-100ml-bel-kera-plus-spodek-11-cm-kolor-fioletowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/1bdc3de8f2a442887e08ec4a3c98cf06","Filiżanka 100ml Bel Kera plus spodek 11 cm, kolor fioletowy",,21.27,3.4.100 VIO,"Szerokość  6 cm
wysokość 5,5 cm"
https://apspolska.pl/filizanka-300ml-bel-kera-bez-spodka-kolor-fioletowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/929c924110644403ad0b299740d749d7","Filiżanka 300ml Bel Kera (bez spodka), kolor fioletowy",,16.14,1.6 VIO,"Szerokość  8,5 cm
wysokość 9,5 cm"
https://apspolska.pl/filizanka-300ml-bel-kera-bez-spodka-kolor-topaz.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/be381788fb25a6595836cc1a51fcd126","Filiżanka 300ml Bel Kera (bez spodka), kolor topaz",,23.20,1.6 TOP,"Szerokość  8,5 cm
wysokość 9,5 cm"
https://apspolska.pl/spodek-15cm-bel-kera-kolor-topaz.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/4e09baeafbb586976c79a6abb0248f66","Spodek 15cm Bel Kera, kolor topaz",,13.04,3.4.15 TOP,
https://apspolska.pl/filizanka-100ml-bel-kera-plus-spodek-11-cm-kolor-morski.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/3c1915b3bb8aeb1096e0221b6ad00399","Filiżanka 100ml Bel Kera plus spodek 11 cm, kolor morski",,21.27,3.4.100 MOR,"Szerokość  6 cm
wysokość 5,5 cm"
https://apspolska.pl/spodek-15cm-bel-kera-kolor-agat.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/084b4a9b7ef6ad768f2bc558d0b10e5d","Spodek 15cm Bel Kera, kolor agat",,13.04,3.4.15 AGA,
https://apspolska.pl/filizanka-200ml-bel-kera-plus-spodek-15-cm-kolor-morski.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/0b69384a695b182bd1731d79e76907b1","Filiżanka 200ml Bel Kera plus spodek 15 cm, kolor morski",,25.90,3.4.200 MOR,"Szerokość  8 cm
wysokość 7,5 cm"
https://apspolska.pl/filizanka-100ml-bel-kera-plus-spodek-11-cm-kolor-szmaragd.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/5c080088a7d698ef748b4c8bcbabd8cf","Filiżanka 100ml Bel Kera plus spodek 11 cm, kolor szmaragd",,30.58,3.4.100 SZM,"Szerokość  6 cm
wysokość 5,5 cm"
https://apspolska.pl/filizanka-100ml-bel-kera-plus-spodek-11-cm-kolor-hematyt.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/b3c807cc05365cedf8d7dcbb0e330bb0","Filiżanka 100ml Bel Kera plus spodek 11 cm, kolor hematyt",,30.58,3.4.100 HEM,"Szerokość  6 cm
wysokość 5,5 cm"
https://apspolska.pl/talerz-plytki-24cm-kera-still-kolor-agat.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/2dd7294c2baea1cdb8c4a30287bc2837","Talerz płytki 24cm KERA Still, kolor agat",,48.90,14.3 AGA,"Szerokość 24,5 cm
wysokość 2,5 cm"
https://apspolska.pl/talerz-do-pasty-27cm-kera-still-kolor-topaz.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/a788244a9390dd4be544ad4be34bc007","Talerz do pasty 27cm KERA Still, kolor topaz",,76.44,14.11 TOP,"Szerokość 27 cm
wysokość 7,5 cm"
